Zeit;Kanal A
(ms);(mV)

-20,51999917;-1,69291329
-20,51499917;-1,31643701
-20,50999917;-1,31643701
-20,50499917;-0,75233757
-20,49999917;-1,69291329
-20,49499917;-1,31643701
-20,48999917;-1,88053632
-20,48499917;-0,75233757
-20,47999917;-1,31643701
-20,47499917;-0,93996060
-20,46999917;-0,75233757
-20,46499917;-0,37586120
-20,45999917;0,18762302
-20,45499917;0,93996060
-20,44999917;0,00000000
-20,44499917;0,56409937
-20,43999917;1,12819874
-20,43499917;2,25701261
-20,42999917;2,63348913
-20,42499917;2,44525075
-20,41999917;2,44525075
-20,41499917;2,82111216
-20,40999917;3,19758844
-20,40499917;3,19758844
-20,39999917;3,38582659
-20,39499917;3,00935030
-20,38999917;3,19758844
-20,38499917;2,63348913
-20,37999917;3,38582659
-20,37499917;2,63348913
-20,36999917;2,25701261
-20,36499917;2,25701261
-20,35999917;2,44525075
-20,35499917;2,44525075
-20,34999917;2,44525075
-20,34499917;2,44525075
-20,33999917;1,88053632
-20,33499917;2,44525075
-20,32999917;3,00935030
-20,32499917;1,69291329
-20,31999917;2,82111216
-20,31499917;3,19758844
-20,30999917;3,38582659
-20,30499917;3,94992590
-20,29999917;4,13816404
-20,29499917;4,32640219
-20,28999917;3,76168776
-20,28499917;5,07874012
-20,27999917;5,26697826
-20,27499917;4,89050150
-20,26999917;5,26697826
-20,26499917;4,32640219
-20,25999917;5,64283943
-20,25499917;5,45460081
-20,24999917;3,76168776
-20,24499917;5,83107758
-20,23999917;4,89050150
-20,23499917;4,70226383
-20,22999917;5,26697826
-20,22499917;4,70226383
-20,21999917;5,64283943
-20,21499917;4,13816404
-20,20999917;4,70226383
-20,20499917;3,94992590
-20,19999917;3,76168776
-20,19499917;3,57344961
-20,18999917;3,94992590
-20,18499917;3,94992590
-20,17999917;3,57344961
-20,17499917;4,13816404
-20,16999917;3,76168776
-20,16499917;4,32640219
-20,15999917;3,94992590
-20,15499917;4,13816404
-20,14999917;3,76168776
-20,14499917;3,94992590
-20,13999917;3,38582659
-20,13499917;2,82111216
-20,12999917;2,44525075
-20,12499918;2,82111216
-20,11999918;2,82111216
-20,11499918;2,44525075
-20,10999918;1,50467515
-20,10499918;1,88053632
-20,09999918;0,00000000
-20,09499918;1,88053632
-20,08999918;0,56409937
-20,08499918;1,88053632
-20,07999918;0,56409937
-20,07499918;0,18762302
-20,06999918;0,93996060
-20,06499918;0,37586120
-20,05999918;0,00000000
-20,05499918;0,37586120
-20,04999918;-0,75233757
-20,04499918;-0,37586120
-20,03999918;0,00000000
-20,03499918;0,00000000
-20,02999918;-0,75233757
-20,02499918;-1,50467515
-20,01999918;-2,06877446
-20,01499918;-1,50467515
-20,00999918;-2,25701261
-20,00499918;-1,69291329
-19,99999918;-3,38582659
-19,99499918;-2,63348913
-19,98999918;-3,38582659
-19,98499918;-2,82111216
-19,97999918;-3,19758844
-19,97499918;-3,00935030
-19,96999918;-3,00935030
-19,96499918;-3,00935030
-19,95999918;-2,25701261
-19,95499918;-1,31643701
-19,94999918;-3,57344961
-19,94499918;-0,75233757
-19,93999918;-0,56409937
-19,93499918;0,37586120
-19,92999918;-0,18762302
-19,92499918;-0,37586120
-19,91999918;-0,37586120
-19,91499918;-1,12819874
-19,90999918;-1,69291329
-19,90499918;-1,69291329
